@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {BoatPose, UpwardPlank, BowPose, TheTree, Bridge, TheExtendedSideAngle, ChildsPose, StandingStill, CobraPose, StandingMoving, DownwardFacingDog, SeatedForwardBend, MeditationPose, Plank}

@data
-0.086792, -0.127319, -0.999023, TheTree
-0.0849609, -0.131836, -0.995605, TheTree
-0.086792, -0.135742, -0.996094, TheTree
-0.0852661, -0.138062, -0.994141, TheTree
-0.0840454, -0.133789, -0.998535, TheTree
-0.0860596, -0.129028, -0.999023, TheTree
-0.0886841, -0.124023, -0.998047, TheTree
-0.0899658, -0.127319, -0.998047, TheTree
-0.517578, -0.197021, -0.841309, TheTree
-0.521973, -0.194946, -0.839355, TheTree
-0.524414, -0.195313, -0.840332, TheTree
-0.527344, -0.205811, -0.834473, TheTree
-0.538574, -0.2052, -0.824219, TheTree
-0.533203, -0.201294, -0.831543, TheTree
-0.532227, -0.204102, -0.82959, TheTree
-0.530273, -0.212524, -0.831543, TheTree
-0.527344, -0.212646, -0.835938, TheTree
-0.529785, -0.223145, -0.827148, TheTree
-0.529785, -0.209961, -0.831543, TheTree
-0.537598, -0.202759, -0.826172, TheTree
-0.545898, -0.214233, -0.822754, TheTree
-0.54834, -0.22229, -0.810059, TheTree
-0.537598, -0.216919, -0.825684, TheTree
-0.5625, -0.211914, -0.807129, TheTree
-0.558594, -0.195679, -0.818359, TheTree
-0.559082, -0.190186, -0.81543, TheTree
-0.55957, -0.191406, -0.817871, TheTree
-0.557617, -0.197876, -0.815918, TheTree
-0.562012, -0.20874, -0.807617, TheTree
-0.568359, -0.209106, -0.808105, TheTree
-0.574219, -0.236328, -0.79541, TheTree
-0.969238, -0.0901489, 0.235229, Bridge
-0.969727, -0.0823364, 0.233887, Bridge
-0.969727, -0.0806885, 0.233398, Bridge
-0.969238, -0.0977173, 0.241089, Bridge
-0.967773, -0.0883789, 0.241699, Bridge
-0.970215, -0.0965576, 0.240601, Bridge
-0.962891, -0.123108, 0.249512, Bridge
-0.969238, -0.0922852, 0.241211, Bridge
-0.967285, -0.114258, 0.245239, Bridge
-0.967773, -0.101929, 0.243286, Bridge
-0.967285, -0.097229, 0.241333, Bridge
-0.969238, -0.100159, 0.241211, Bridge
-0.96875, -0.0970459, 0.23999, Bridge
-0.969238, -0.0962524, 0.241699, Bridge
-0.967285, -0.100769, 0.241943, Bridge
-0.96875, -0.0942993, 0.24231, Bridge
-0.969238, -0.0968018, 0.243042, Bridge
-0.96875, -0.09375, 0.244629, Bridge
-0.96875, -0.093811, 0.244629, Bridge
-0.967773, -0.0968628, 0.248901, Bridge
-0.96875, -0.100098, 0.248779, Bridge
-0.96875, -0.0934448, 0.247437, Bridge
-0.966797, -0.113098, 0.254639, Bridge
-0.967285, -0.0987549, 0.25, Bridge
-0.967773, -0.102295, 0.25, Bridge
-0.967285, -0.09375, 0.247192, Bridge
-0.96875, -0.095459, 0.248291, Bridge
-0.964844, -0.117188, 0.255859, Bridge
-0.967285, -0.10199, 0.251709, Bridge
-0.964355, -0.117737, 0.256348, Bridge
-0.993164, -0.0604553, 0.140747, Bridge
-0.991211, -0.0735474, 0.146851, Bridge
-0.98877, -0.079834, 0.146851, Bridge
-0.990234, -0.0810547, 0.150757, Bridge
-0.992188, -0.0693359, 0.150146, Bridge
-0.98877, -0.0874023, 0.155518, Bridge
-0.990723, -0.088562, 0.156006, Bridge
-0.989746, -0.0797729, 0.157715, Bridge
-0.990234, -0.0799561, 0.156006, Bridge
-0.990723, -0.0834961, 0.153931, Bridge
-0.986328, -0.0848389, 0.153931, Bridge
-0.990234, -0.0872192, 0.153564, Bridge
-0.987793, -0.0827637, 0.154053, Bridge
-0.987793, -0.088623, 0.151123, Bridge
-0.989746, -0.0880127, 0.151001, Bridge
-0.991211, -0.0755005, 0.150269, Bridge
-0.990723, -0.0760498, 0.150024, Bridge
-0.990723, -0.0717773, 0.150513, Bridge
-0.991211, -0.0716553, 0.149414, Bridge
-0.990723, -0.0731812, 0.150391, Bridge
-0.755859, 0.629883, 0.0994873, TheExtendedSideAngle
-0.756836, 0.631836, 0.0891724, TheExtendedSideAngle
-0.754395, 0.631348, 0.109802, TheExtendedSideAngle
-0.75, 0.631348, 0.118408, TheExtendedSideAngle
-0.748047, 0.63916, 0.111389, TheExtendedSideAngle
-0.745605, 0.638184, 0.114319, TheExtendedSideAngle
-0.745117, 0.645508, 0.105896, TheExtendedSideAngle
-0.744629, 0.643555, 0.108154, TheExtendedSideAngle
-0.745605, 0.644531, 0.10791, TheExtendedSideAngle
-0.740723, 0.646973, 0.110107, TheExtendedSideAngle
-0.739746, 0.650879, 0.112, TheExtendedSideAngle
-0.740234, 0.64209, 0.12561, TheExtendedSideAngle
-0.742676, 0.643555, 0.124512, TheExtendedSideAngle
-0.740234, 0.641602, 0.128418, TheExtendedSideAngle
-0.737305, 0.646973, 0.134766, TheExtendedSideAngle
-0.73584, 0.645996, 0.129028, TheExtendedSideAngle
-0.734375, 0.65625, 0.104675, TheExtendedSideAngle
-0.73584, 0.653809, 0.0892334, TheExtendedSideAngle
-0.736816, 0.656738, 0.0762329, TheExtendedSideAngle
-0.73291, 0.656738, 0.0704956, TheExtendedSideAngle
-0.734375, 0.662598, 0.0525208, TheExtendedSideAngle
-0.736816, 0.65918, 0.0474243, TheExtendedSideAngle
-0.73584, 0.662109, 0.0294037, TheExtendedSideAngle
-0.739746, 0.654297, 0.0484314, TheExtendedSideAngle
-0.738281, 0.654785, 0.0592651, TheExtendedSideAngle
-0.73877, 0.657227, 0.0703125, TheExtendedSideAngle
-0.742188, 0.639648, 0.0583496, TheExtendedSideAngle
-0.706543, 0.666992, 0.194824, TheExtendedSideAngle
-0.735352, 0.643066, 0.127808, TheExtendedSideAngle
-0.734863, 0.650879, 0.135132, TheExtendedSideAngle
-0.736816, 0.651855, 0.0901489, TheExtendedSideAngle
-0.73584, 0.65625, 0.0846558, TheExtendedSideAngle
-0.734375, 0.655273, 0.0883179, TheExtendedSideAngle
-0.729004, 0.661621, 0.0941772, TheExtendedSideAngle
-0.729492, 0.657715, 0.100708, TheExtendedSideAngle
-0.729004, 0.65918, 0.107117, TheExtendedSideAngle
-0.724609, 0.662598, 0.10321, TheExtendedSideAngle
-0.722656, 0.665039, 0.106934, TheExtendedSideAngle
-0.725098, 0.661133, 0.106812, TheExtendedSideAngle
-0.723145, 0.665039, 0.10498, TheExtendedSideAngle
-0.721191, 0.667969, 0.104187, TheExtendedSideAngle
-0.71875, 0.671875, 0.105286, TheExtendedSideAngle
-0.717773, 0.67041, 0.115112, TheExtendedSideAngle
-0.714844, 0.665527, 0.142212, TheExtendedSideAngle
-0.711426, 0.680664, 0.111755, TheExtendedSideAngle
-0.715332, 0.671875, 0.0978394, TheExtendedSideAngle
-0.722168, 0.666504, 0.104675, TheExtendedSideAngle
-0.723145, 0.66748, 0.0865479, TheExtendedSideAngle
-0.725098, 0.666992, 0.0821533, TheExtendedSideAngle
-0.727051, 0.664551, 0.0755005, TheExtendedSideAngle
-0.724121, 0.668945, 0.0769653, TheExtendedSideAngle
-0.726563, 0.668945, 0.0828857, TheExtendedSideAngle
-0.734375, 0.654297, 0.0899658, TheExtendedSideAngle
-0.738281, 0.650879, 0.0818481, TheExtendedSideAngle
-0.735352, 0.654785, 0.0969849, TheExtendedSideAngle
-0.730469, 0.655273, 0.115906, TheExtendedSideAngle
-0.726563, 0.655273, 0.126831, TheExtendedSideAngle
-0.727051, 0.661621, 0.111328, TheExtendedSideAngle
-0.729492, 0.659668, 0.0969849, TheExtendedSideAngle
-0.726563, 0.661133, 0.107422, TheExtendedSideAngle
-0.00150013, 0.51123, -0.855469, ChildsPose
-0.000558376, 0.505371, -0.861328, ChildsPose
-0.00125408, 0.508301, -0.859375, ChildsPose
-0.00269699, 0.509277, -0.859375, ChildsPose
-0.00336075, 0.504883, -0.862305, ChildsPose
-0.00335884, 0.501953, -0.86377, ChildsPose
-0.00312424, 0.50293, -0.86377, ChildsPose
-0.00326157, 0.509766, -0.858398, ChildsPose
-0.0033989, 0.504883, -0.86377, ChildsPose
-0.00313759, 0.503906, -0.86377, ChildsPose
-0.00292587, 0.501465, -0.86377, ChildsPose
-0.00294685, 0.5, -0.863281, ChildsPose
-0.00314331, 0.501465, -0.864746, ChildsPose
-0.00318527, 0.503906, -0.862793, ChildsPose
-0.00320053, 0.503906, -0.86377, ChildsPose
-0.00312424, 0.504883, -0.859375, ChildsPose
-0.00316429, 0.511719, -0.855469, ChildsPose
-0.00271225, 0.51123, -0.855469, ChildsPose
-0.00261879, 0.511719, -0.855957, ChildsPose
-0.00314713, 0.515137, -0.853027, ChildsPose
-0.00278854, 0.514648, -0.853516, ChildsPose
-0.00290489, 0.51123, -0.85498, ChildsPose
-0.00216675, 0.510742, -0.858398, ChildsPose
-0.00256348, 0.514648, -0.85498, ChildsPose
-0.00267982, 0.51416, -0.85498, ChildsPose
-0.00263596, 0.512695, -0.85498, ChildsPose
-0.00231171, 0.511719, -0.85498, ChildsPose
-0.00240517, 0.51123, -0.856934, ChildsPose
-0.00242424, 0.513184, -0.85498, ChildsPose
-0.00265503, 0.51123, -0.855957, ChildsPose
0.0852661, -0.000790119, -1.00195, ChildsPose
0.0853271, -0.00300598, -1.00195, ChildsPose
0.088562, -0.0131989, -1.00195, ChildsPose
0.0895386, -0.0226288, -1.00195, ChildsPose
0.0830688, -0.0145569, -1.00195, ChildsPose
0.0818481, -0.0126419, -1.00195, ChildsPose
0.0814819, -0.0137787, -1.00195, ChildsPose
0.0808716, -0.0142441, -1.00195, ChildsPose
0.0805664, -0.0144196, -1.00195, ChildsPose
0.0805664, -0.0149765, -1.00195, ChildsPose
0.0802002, -0.0151825, -1.00195, ChildsPose
0.0802612, -0.0157318, -1.00195, ChildsPose
0.0803833, -0.0161591, -1.00195, ChildsPose
0.0801392, -0.0165863, -1.00195, ChildsPose
0.0797119, -0.0156097, -1.00195, ChildsPose
0.0792236, -0.0152893, -1.00195, ChildsPose
0.0794678, -0.0161743, -1.00195, ChildsPose
0.0794678, -0.0167694, -1.00195, ChildsPose
0.0795288, -0.0171661, -1.00195, ChildsPose
0.0800781, -0.0179291, -1.00195, ChildsPose
0.0821533, -0.0227814, -1.00195, ChildsPose
0.0856323, -0.0335083, -1.00195, ChildsPose
0.083313, -0.0307159, -1.00195, ChildsPose
0.0814209, -0.0273895, -1.00195, ChildsPose
0.0803833, -0.0257416, -1.00195, ChildsPose
